Table 1
Слой/Возраст,260,245,210,200,160,145,125,100,80,55,45,0
Shales,,,,,,,,,,,69.2,64.04
Sandstones,,,,,,,,,,40.64,40.21,38.81
Shales,,,,,,,,,68.12,61.52,46.69,42.04
Chalk,,,,,,,,63.42,58.46,27.78,23.15,21.3
Sandstones,,,,,,,40.51,39.51,24.77,21.06,20.19,18.99
Limestones,,,,,,34.98,34.97,34.58,34.05,33.84,33.79,33.7
Dolomite,,,,,33.24,33.24,30.94,21.54,13.68,11.58,11.09,10.4
Sandstones,,,40.54,40.54,39.88,33.37,31.44,23.17,15.73,13.63,13.13,12.43
Anhydrite,,1,1,1,1,1,1,1,1,1,1,1
Quartzite,40.89,40.89,40.89,40.89,40.89,40.89,40.89,40.89,40.89,40.89,40.89,40.89
